Latitude belt,Qs (kly yr^-1),Latitude circle,Kh (10^10 cm^2 sec^-1),Kw (10^9 cm^2 sec^-1),K0 (10^6 cm^2 sec^-1),a (cm sec^-1 K^-1)
80-90N,135.7,80N,1.9,4.6,0.7,0.5
70-80N,145.1,70N,1.2,2.0,6.6,1.0
60-70N,167.3,60N,1.7,2.5,6.9,1.0
50-60N,202.2,50N,1.5,5.9,7.6,1.0
40-50N,237.7,40N,0.9,5.1,5.3,1.0
30-40N,269.0,30N,1.3,2.9,9.6,2.0
20-30N,293.9,20N,10.3,2.2,13.3,3.0
10-20N,311.1,10N,133.2,34.4,59.9,3.0
0-10N,319.8,0,68.2,16.3,7.0,3.0
0-10S,319.8,10S,30.8,0.6,19.0,3.0
10-20S,311.1,20S,8.5,0.8,9.5,3.0
20-30S,293.9,30S,2.3,4.3,5.1,2.0
30-40S,269.0,40S,2.3,11.9,2.9,1.0
40-50S,237.7,50S,1.9,12.8,1.8,1.0
50-60S,202.2,60S,1.4,8.2,0.5,1.0
60-70S,167.3,70S,1.0,7.4,0.2,0.5
70-80S,145.1,80S,0.5,6.3,0.0,0.5
80-90S,135.7,,,,,
